,Product_ID,Sales_Agent,Status,Created_hour,Created_min,Created_day,Created_month,Source_freq_encode,Location_freq_encode,Delivery_Mode_Mode-1,Delivery_Mode_Mode-2,Delivery_Mode_Mode-3,Delivery_Mode_Mode-4,Delivery_Mode_Mode-5
2027,18,3,0,16,30,11,9,0.2368995633187773,0.01896834061135371,0,0,1,0,0
2028,5,11,0,16,20,11,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2029,18,4,1,16,0,11,9,0.36340065502183405,0.12377183406113537,1,0,0,0,0
2030,18,2,1,15,50,11,9,0.3460698689956332,0.12377183406113537,1,0,0,0,0
2031,1,3,0,14,40,11,9,0.36340065502183405,0.12377183406113537,1,0,0,0,0
2032,15,9,0,14,29,11,9,0.2368995633187773,0.12377183406113537,0,0,0,0,1
2033,19,4,0,14,18,11,9,0.3460698689956332,0.054448689956331876,0,0,1,0,0
2034,9,3,0,14,13,11,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2035,1,11,0,13,55,11,9,0.36340065502183405,0.3541211790393013,0,0,0,0,1
2036,9,5,1,13,45,11,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2037,10,3,1,13,16,11,9,0.019787117903930132,0.3541211790393013,0,1,0,0,0
2038,18,7,0,13,14,11,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2039,9,3,1,13,9,11,9,0.028930131004366814,0.28370633187772926,1,0,0,0,0
2040,15,5,0,13,5,11,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2041,5,7,0,13,5,11,9,0.36340065502183405,0.12377183406113537,0,0,0,0,1
2042,9,4,1,13,4,11,9,0.3460698689956332,0.28370633187772926,0,0,0,0,1
2043,10,4,1,13,4,11,9,0.3460698689956332,0.28370633187772926,0,0,0,0,1
2044,15,12,0,13,4,11,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2045,19,9,0,13,0,11,9,0.3460698689956332,0.06413755458515284,1,0,0,0,0
2046,5,7,0,13,0,11,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2047,15,4,0,12,58,11,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2048,15,7,0,12,58,11,9,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2049,19,7,1,12,55,11,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2050,10,5,0,12,46,11,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2051,20,11,1,12,25,11,9,0.36340065502183405,0.3541211790393013,0,0,0,0,1
2052,19,9,1,11,42,11,9,0.028930131004366814,0.28370633187772926,1,0,0,0,0
2053,18,9,1,11,32,11,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2054,9,3,1,10,40,11,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2055,18,5,1,10,35,11,9,0.2368995633187773,0.06413755458515284,0,0,0,0,1
2056,18,9,1,10,18,11,9,0.3460698689956332,0.12377183406113537,0,0,0,0,1
2057,18,12,0,10,10,11,9,0.36340065502183405,0.06413755458515284,1,0,0,0,0
2058,27,5,0,1,30,11,9,0.36340065502183405,0.01896834061135371,0,0,0,0,1
2059,5,9,1,0,35,11,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2060,15,4,0,0,29,11,9,0.2368995633187773,0.3541211790393013,0,0,0,0,1
2061,18,7,1,23,39,10,9,0.2368995633187773,0.28370633187772926,1,0,0,0,0
2062,19,5,0,23,5,10,9,0.36340065502183405,0.07191593886462883,0,0,1,0,0
2063,9,5,1,18,56,10,9,0.2368995633187773,0.12377183406113537,0,0,1,0,0
2064,18,2,0,18,25,10,9,0.36340065502183405,0.028930131004366814,0,0,0,0,1
2065,27,9,0,18,5,10,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2066,15,5,0,18,0,10,9,0.36340065502183405,0.28370633187772926,0,0,0,0,1
2067,1,7,0,16,40,10,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2068,9,7,1,14,40,10,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2069,18,5,1,14,37,10,9,0.3460698689956332,0.06413755458515284,0,0,1,0,0
2070,18,5,0,13,45,10,9,0.36340065502183405,0.054448689956331876,0,0,1,0,0
2071,18,2,1,13,21,10,9,0.36340065502183405,0.28370633187772926,0,0,1,0,0
2072,27,5,0,13,10,10,9,0.36340065502183405,0.28370633187772926,0,0,1,0,0
2073,20,9,0,13,9,10,9,0.2368995633187773,0.12377183406113537,1,0,0,0,0
2074,19,3,1,13,0,10,9,0.3460698689956332,0.3541211790393013,0,0,1,0,0
2075,15,8,0,12,55,10,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2076,5,7,1,12,40,10,9,0.3460698689956332,0.28370633187772926,1,0,0,0,0
2077,27,5,0,12,16,10,9,0.2368995633187773,0.07191593886462883,1,0,0,0,0
2078,27,5,0,12,2,10,9,0.2368995633187773,0.07191593886462883,0,0,1,0,0
2079,18,5,0,12,1,10,9,0.36340065502183405,0.3541211790393013,0,0,1,0,0
2080,18,5,1,11,47,10,9,0.2368995633187773,0.01896834061135371,0,0,1,0,0
2081,27,7,0,11,47,10,9,0.2368995633187773,0.07191593886462883,1,0,0,0,0
2082,19,7,0,11,39,10,9,0.2368995633187773,0.01896834061135371,0,0,1,0,0
2083,19,7,1,11,34,10,9,0.36340065502183405,0.054448689956331876,0,0,1,0,0
2084,19,7,0,11,15,10,9,0.36340065502183405,0.06413755458515284,0,0,1,0,0
2085,27,2,1,10,35,10,9,0.36340065502183405,0.28370633187772926,1,0,0,0,0
2086,20,4,1,9,50,10,9,0.36340065502183405,0.028930131004366814,0,0,1,0,0
